EntityId,EntityName,LineofBusinessCode,AdhocFlag,EntityType,RelationshipManager,ContactPhone,RegionLocale,Language,ShowConsolidatedHoldingsPage,ConsultantId,ConsultantName
"ADCARE","Adventist Healthcare Inc.","USTR","N",,,,,,,"UBS","UBS"
"ADSHORT","Adventist Healthcare Inc. Short","USTR","N",,,,,,,"UBS","UBS"
"AGMEN","Universidad Ana G. Mendez Endowment Fund","USTR","N",,,,,,,"UBS","UBS"
"ALA","American Lung Association Pension Plan","USTR","N",,,,,,,"FIDU","Fiducient"
"ALIHOUR","Allison Trans Hourly-Rate Employees Pension Plan","USTR","N",,,,,,,"CAPTRUST","CapTrust (R)"
"ALISAL","Allison Trans Salaried Employees Pension Plan","USTR","N",,,,,,,"CAPTRUST","CapTrust (R)"
"AMERICAN","American & Efird Employees Pension Plan","USTR","N",,,,,,,"USTR0","Other"
"AOC","American Optical Corporation Retirement Plan","USTR","N",,,,,,,"FIDU","Fiducient"
"BAKERY","Bakery & Confectionery Workers Local 53 Welfare Fund","USTR","N",,,,,,,"MADISON","Madison CG"
"BCH-ES","BayCare Escrow Account","USTR","N",,,,,,,"USTR0","Wilshire (P)"
"BCH-NT","BayCare Health System Insurance, Ltd.","USTR","N",,,,,,,"USTR0","Wilshire (P)"
"BCH-RI","BayCare Health System Reinsurance","USTR","N",,,,,,,"USTR0","Wilshire (P)"
"BCH-TIPS","BayCare Health System Insurance, Ltd. TIPS","USTR","N",,,,,,,"USTR0","Wilshire (P)"
"BIO","bioMerieux","USTR","N",,,,,,,"USTR0","Other"
"BLADE","Toledo Newspaper Unions Blade Pension Plan and Trust","USTR","N",,,,,,,"SEGAL","Segal"
"BLUENC","Blue Cross Blue Shield of North Carolina Retirement Plan","USTR","N",,,,,,,"CAPTRUST","CapTrust (R)"
"CARDONE","Cardone Industries, Inc. Union Pension Plan","USTR","N",,,,,,,"CAPTRUST","CapTrust (R)"
"CBIS","CBIS - CUIT Intermediate Diversified Bond Fund","USTR","N",,,,,,,"USTR0","Other"
"CHEPIP","St. Josephs Hospital ERISA","USTR","N",,,,,,,"USTR0","Other"
"CLOPAY","Clopay Ames True Temper Pension Plan","USTR","N",,,,,,,"MORGAN","Morgan Stanley"
"COLUMBIA","City of Columbia Police & Fire Pension Fund","USTR","N",,,,,,,"UBS","UBS"
"CPIPE","Charlotte Pipe and Foundry Pension Plan","USTR","N",,,,,,,"USTR0","Other"
"CWF","California Wildfire Fund","USTR","N",,,,,,,"RAYMOND","Raymond James"
"CWROLLED","Commonwealth Rolled Products","USTR","N",,,,,,,"CAPTRUST","CapTrust (R)"
"D9PEN","Machinist District 9 Pension Fund","USTR","N",,,,,,,"ICS","ICS"
"D9WEL","Machinist District 9 Welfare Trust","USTR","N",,,,,,,"ICS","ICS"
"DECATUR","Decatur, Georgia","USTR","N",,,,,,,"BBT","BB&T"
"DELTA","Delta Dental of New Jersey Pension Plan","USTR","N",,,,,,,"CAPTRUST","CapTrust (R)"
"DEVRO","Devro, Inc. Pension Plan","USTR","N",,,,,,,"PRIME","Prime Trust"
"DOC-A","Verity Health System Gov/Credit Long Assets","USTR","N",,,,,,,"USTR0","Wilshire (L)"
"DOC-G","Verity Health System Treasury 20+ Yrs Assets","USTR","N",,,,,,,"USTR0","Wilshire (L)"
"DVHIT","Delaware Valley Health Insurance Trust","USTR","N",,,,,,,"CONCORD","Concord Advisory"
"DVIT","Delaware Valley Insurance Trust","USTR","N",,,,,,,"CONCORD","Concord Advisory"
"DVWCT","Delaware Valley Workers Compensation Trust","USTR","N",,,,,,,"CONCORD","Concord Advisory"
"ENGLWOOD","Englewood Hopsital and Medical Center","USTR","N",,,,,,,"CAPTRUST","CapTrust (R)"
"EPPERSON","U.S. Epperson","USTR","N",,,,,,,"USTR0","Other"
"ESCPEN","Northeast Carpenters Pension Plan","USTR","N",,,,,,,"GALLGHR","Gallagher"
"ESCWEL","Northeast Carpenters Welfare Plan","USTR","N",,,,,,,"IPS","IPS"
"EXCO","Exco Noonan Pension Plan","USTR","N",,,,,,,"BELLWETH","Bellwether"
"FOURTHED","Fourth Edition, Inc. Pension Plan","USTR","N",,,,,,,"CAPTRUST","CapTrust (R)"
"GASHER","Georgia Sheriffs Retirement Fund","USTR","N",,,,,,,"UBS","UBS"
"GEAP","GE Appliances Pension Plan","USTR","N",,,,,,,"CAPTRUST","CapTrust (R)"
"GENESIS","Genesis Heath Care System","USTR","N",,,,,,,"MARQUET","Marquette"
"GMASON","George Mason University","USTR","N",,,,,,,"UBS","UBS"
"GMP","Green Mountain Power Corp.","USTR","N",,,,,,,"MORGAN","Morgan Stanley"
"GONNELLA","Gonnella Baking Company Defined Benefit Plan","USTR","N",,,,,,,"MORGAN","Morgan Stanley"
"GREER","Greer Industries","USTR","N",,,,,,,"MORGAN","Morgan Stanley"
"GROCERS","Grocers Supply Company, Inc. Employees Pension Plan","USTR","N",,,,,,,"RAYMOND","Raymond James"
"GROTON","City of Groton Retirement Plan","USTR","N",,,,,,,"GYL","GYL Financial Strategies"
"GTSAL","Greene, Tweed & Co., Inc. Pension Plan","USTR","N",,,,,,,"CAPTRUST","CapTrust (R)"
"GTSERV","GT Services LLC Pension Plan","USTR","N",,,,,,,"CAPTRUST","CapTrust (R)"
"GTUNION","Greene, Tweed & Co., Inc. Union Employees Pension Plan","USTR","N",,,,,,,"CAPTRUST","CapTrust (R)"
"GWINNETT","Gwinnett County Retirement Plan","USTR","N",,,,,,,"UBS","UBS"
"HENPEN","Henny Penny Corporation Employees Pension Plan","USTR","N",,,,,,,"USTR0","Other"
"HI-TIPS","Hawaii Employee Retirement System TIPS","USTR","N",,,,,,,"USTR0","Other"
"HICKORY","HSM Solutions - Hickory Springs Retirement Plan","USTR","N",,,,,,,"DIMEO","The Trust Co/Dimeo"
"HIERS","Hawaii Employees Retirement System","USTR","N",,,,,,,"PCA","PCA"
"HILL-A","Hillsdale College Non FL CA","USTR","N",,,,,,,"MORGAN","Morgan Stanley"
"HILL-CA","Hillsdale College CA Annuity","USTR","N",,,,,,,"MORGAN","Morgan Stanley"
"HILL-FL","Hillsdale College Florida Gift Annuity","USTR","N",,,,,,,"MORGAN","Morgan Stanley"
"HITMETAL","Hitachi Metals America Employees Retirement Plan","USTR","N",,,,,,,"MERRILL","Merrill Lynch"
"HUHT","HUHT - Main Account","USTR","N",,,,,,,"MEKETA","Meketa"
"HUHTX","HUHTX - Excess Funds Account","USTR","N",,,,,,,"PCA","PCA"
"ICONF","Ironworkers - Conventional Fund","USTR","N",,,,,,,"RBC","RBC (C)"
"IDAHOE","Idaho Operating Engineers & Employers Pension Trust Fund","USTR","N",,,,,,,"VERUS","Verus"
"IDBF","Ironworkers - Death Benefit Fund","USTR","N",,,,,,,"RBC","RBC (C)"
"IGEN","Ironworkers - General Fund","USTR","N",,,,,,,"RBC","RBC (C)"
"INOE-A","Local 94 International Union of Operating Engineers Annuity Fund","USTR","N",,,,,,,"USTR0","Other"
"INPO","Institute of Nuclear Power Operations Defined Benefit Pension Plan","USTR","N",,,,,,,"CAPTRUST","CapTrust (R)"
